Algorithm,Trace File,Page Frames,Total Disk Reads,Total Disk Writes,Page Fault Rate
rand,gcc.trace,1,716106,104942,0.7161
lru,gcc.trace,1,716106,104942,0.7161
clock,gcc.trace,1,716106,104942,0.7161
rand,bzip.trace,1,629737,118475,0.6297
lru,bzip.trace,1,629737,118475,0.6297
clock,bzip.trace,1,629737,118475,0.6297
rand,sixpack.trace,1,792379,159542,0.7924
lru,sixpack.trace,1,792379,159542,0.7924
clock,sixpack.trace,1,792379,159542,0.7924
rand,swim.trace,1,763444,66432,0.7634
lru,swim.trace,1,763444,66432,0.7634
clock,swim.trace,1,763444,66432,0.7634
rand,gcc.trace,2,467288,76160,0.4673
lru,gcc.trace,2,403955,74158,0.4040
clock,gcc.trace,2,460912,76432,0.4609
rand,bzip.trace,2,242325,54060,0.2423
lru,bzip.trace,2,154429,44024,0.1544
clock,bzip.trace,2,228838,54321,0.2288
rand,sixpack.trace,2,541696,133439,0.5417
lru,sixpack.trace,2,483161,135857,0.4832
clock,sixpack.trace,2,529237,136484,0.5292
rand,swim.trace,2,556703,60820,0.5567
lru,swim.trace,2,470679,60029,0.4707
clock,swim.trace,2,541458,60678,0.5415
rand,gcc.trace,3,370820,62926,0.3708
lru,gcc.trace,3,297133,55286,0.2971
clock,gcc.trace,3,342995,61879,0.3430
rand,bzip.trace,3,171907,43752,0.1719
lru,bzip.trace,3,120104,37311,0.1201
clock,bzip.trace,3,146923,46480,0.1469
rand,sixpack.trace,3,424114,107916,0.4241
lru,sixpack.trace,3,367558,101292,0.3676
clock,sixpack.trace,3,410355,111554,0.4104
rand,swim.trace,3,476308,58947,0.4763
lru,swim.trace,3,391266,57689,0.3913
clock,swim.trace,3,435517,58603,0.4355
rand,gcc.trace,4,316567,54799,0.3166
lru,gcc.trace,4,243809,43187,0.2438
clock,gcc.trace,4,276968,51481,0.2770
rand,bzip.trace,4,131425,37629,0.1314
lru,bzip.trace,4,92770,35650,0.0928
clock,bzip.trace,4,111442,37740,0.1114
rand,sixpack.trace,4,355208,89605,0.3552
lru,sixpack.trace,4,282620,71260,0.2826
clock,sixpack.trace,4,329368,88943,0.3294
rand,swim.trace,4,428094,57803,0.4281
lru,swim.trace,4,346936,56045,0.3469
clock,swim.trace,4,380682,57213,0.3807
rand,gcc.trace,5,279735,48515,0.2797
lru,gcc.trace,5,217806,36078,0.2178
clock,gcc.trace,5,239348,43715,0.2393
rand,bzip.trace,5,101240,31666,0.1012
lru,bzip.trace,5,67548,21392,0.0675
clock,bzip.trace,5,91344,32358,0.0913
rand,sixpack.trace,5,308936,76905,0.3089
lru,sixpack.trace,5,234662,52196,0.2347
clock,sixpack.trace,5,274164,70292,0.2742
rand,swim.trace,5,393965,56971,0.3940
lru,swim.trace,5,326713,55058,0.3267
clock,swim.trace,5,346170,56225,0.3462
rand,gcc.trace,6,253813,44280,0.2538
lru,gcc.trace,6,199245,31030,0.1992
clock,gcc.trace,6,214500,37847,0.2145
rand,bzip.trace,6,76530,25949,0.0765
lru,bzip.trace,6,43585,14617,0.0436
clock,bzip.trace,6,63386,23235,0.0634
rand,sixpack.trace,6,276256,67593,0.2763
lru,sixpack.trace,6,207280,41908,0.2073
clock,sixpack.trace,6,236025,56197,0.2360
rand,swim.trace,6,366223,56214,0.3662
lru,swim.trace,6,311005,54444,0.3110
clock,swim.trace,6,322887,55452,0.3229
rand,gcc.trace,7,233526,40348,0.2335
lru,gcc.trace,7,184141,27136,0.1841
clock,gcc.trace,7,196688,33338,0.1967
rand,bzip.trace,7,58881,21161,0.0589
lru,bzip.trace,7,38379,14426,0.0384
clock,bzip.trace,7,40696,14573,0.0407
rand,sixpack.trace,7,251032,60364,0.2510
lru,sixpack.trace,7,189472,36062,0.1895
clock,sixpack.trace,7,210289,46757,0.2103
rand,swim.trace,7,342332,55426,0.3423
lru,swim.trace,7,297320,53939,0.2973
clock,swim.trace,7,306676,54801,0.3067
rand,gcc.trace,8,216664,37207,0.2167
lru,gcc.trace,8,171186,23983,0.1712
clock,gcc.trace,8,181856,29401,0.1819
rand,bzip.trace,8,43964,16364,0.0440
lru,bzip.trace,8,30691,11092,0.0307
clock,bzip.trace,8,46164,17568,0.0462
rand,sixpack.trace,8,230975,54541,0.2310
lru,sixpack.trace,8,176496,32717,0.1765
clock,sixpack.trace,8,191760,40261,0.1918
rand,swim.trace,8,321089,54333,0.3211
lru,swim.trace,8,285375,53614,0.2854
clock,swim.trace,8,293519,54327,0.2935
rand,gcc.trace,9,203385,34735,0.2034
lru,gcc.trace,9,160290,21632,0.1603
clock,gcc.trace,9,169348,26208,0.1693
rand,bzip.trace,9,30449,11797,0.0304
lru,bzip.trace,9,23900,7789,0.0239
clock,bzip.trace,9,41877,17159,0.0419
rand,sixpack.trace,9,213623,49720,0.2136
lru,sixpack.trace,9,165150,30243,0.1651
clock,sixpack.trace,9,177123,35726,0.1771
rand,swim.trace,9,301658,53227,0.3017
lru,swim.trace,9,272487,53388,0.2725
clock,swim.trace,9,280204,53940,0.2802
rand,gcc.trace,10,192276,32656,0.1923
lru,gcc.trace,10,150734,19837,0.1507
clock,gcc.trace,10,158661,23557,0.1587
rand,bzip.trace,10,17302,6943,0.0173
lru,bzip.trace,10,17120,7646,0.0171
clock,bzip.trace,10,29228,11773,0.0292
rand,sixpack.trace,10,199860,46050,0.1999
lru,sixpack.trace,10,154678,28147,0.1547
clock,sixpack.trace,10,164206,31920,0.1642
rand,swim.trace,10,283433,51627,0.2834
lru,swim.trace,10,257655,53212,0.2577
clock,swim.trace,10,264816,53662,0.2648
rand,gcc.trace,11,182425,30796,0.1824
lru,gcc.trace,11,142365,18404,0.1424
clock,gcc.trace,11,150083,21648,0.1501
rand,bzip.trace,11,5969,1920,0.0060
lru,bzip.trace,11,4108,1237,0.0041
clock,bzip.trace,11,4401,1316,0.0044
rand,sixpack.trace,11,187381,42630,0.1874
lru,sixpack.trace,11,144839,26049,0.1448
clock,sixpack.trace,11,152928,29009,0.1529
rand,swim.trace,11,266927,50147,0.2669
lru,swim.trace,11,241668,53003,0.2417
clock,swim.trace,11,249338,53432,0.2493
rand,gcc.trace,12,174418,29168,0.1744
lru,gcc.trace,12,135421,17280,0.1354
clock,gcc.trace,12,142502,20050,0.1425
rand,bzip.trace,12,5662,1866,0.0057
lru,bzip.trace,12,3907,1196,0.0039
clock,bzip.trace,12,4126,1273,0.0041
rand,sixpack.trace,12,176832,39884,0.1768
lru,sixpack.trace,12,135644,24050,0.1356
clock,sixpack.trace,12,143122,26638,0.1431
rand,swim.trace,12,250661,48266,0.2507
lru,swim.trace,12,225819,52445,0.2258
clock,swim.trace,12,236445,53183,0.2364
rand,gcc.trace,13,167277,27880,0.1673
lru,gcc.trace,13,129599,16406,0.1296
clock,gcc.trace,13,136246,18915,0.1362
rand,bzip.trace,13,5148,1696,0.0051
lru,bzip.trace,13,3734,1177,0.0037
clock,bzip.trace,13,3884,1207,0.0039
rand,sixpack.trace,13,167618,37449,0.1676
lru,sixpack.trace,13,127454,22387,0.1275
clock,sixpack.trace,13,134851,24736,0.1349
rand,swim.trace,13,235282,46106,0.2353
lru,swim.trace,13,210371,51212,0.2104
clock,swim.trace,13,225902,52703,0.2259
rand,gcc.trace,14,160973,26729,0.1610
lru,gcc.trace,14,124665,15705,0.1247
clock,gcc.trace,14,130648,17902,0.1306
rand,bzip.trace,14,4957,1632,0.0050
lru,bzip.trace,14,3598,1146,0.0036
clock,bzip.trace,14,3710,1183,0.0037
rand,sixpack.trace,14,158517,35083,0.1585
lru,sixpack.trace,14,120132,21034,0.1201
clock,sixpack.trace,14,127462,23193,0.1275
rand,swim.trace,14,221214,44159,0.2212
lru,swim.trace,14,195919,49476,0.1959
clock,swim.trace,14,215630,51953,0.2156
rand,gcc.trace,15,155532,25610,0.1555
lru,gcc.trace,15,120387,15172,0.1204
clock,gcc.trace,15,125857,17081,0.1259
rand,bzip.trace,15,4730,1574,0.0047
lru,bzip.trace,15,3464,1092,0.0035
clock,bzip.trace,15,3576,1157,0.0036
rand,sixpack.trace,15,151585,33582,0.1516
lru,sixpack.trace,15,113953,20096,0.1140
clock,sixpack.trace,15,121041,22005,0.1210
rand,swim.trace,15,208121,42379,0.2081
lru,swim.trace,15,183158,47753,0.1832
clock,swim.trace,15,204541,50621,0.2045
rand,gcc.trace,16,150400,24854,0.1504
lru,gcc.trace,16,116604,14749,0.1166
clock,gcc.trace,16,121682,16376,0.1217
rand,bzip.trace,16,4492,1495,0.0045
lru,bzip.trace,16,3344,1069,0.0033
clock,bzip.trace,16,3468,1128,0.0035
rand,sixpack.trace,16,145002,31859,0.1450
lru,sixpack.trace,16,108682,19342,0.1087
clock,sixpack.trace,16,115206,20951,0.1152
rand,swim.trace,16,194934,40137,0.1949
lru,swim.trace,16,171961,46293,0.1720
clock,swim.trace,16,191848,48350,0.1918
rand,gcc.trace,17,145898,24136,0.1459
lru,gcc.trace,17,113313,14389,0.1133
clock,gcc.trace,17,117882,15802,0.1179
rand,bzip.trace,17,4333,1444,0.0043
lru,bzip.trace,17,3215,1053,0.0032
clock,bzip.trace,17,3380,1113,0.0034
rand,sixpack.trace,17,138845,30521,0.1388
lru,sixpack.trace,17,103968,18721,0.1040
clock,sixpack.trace,17,109997,20102,0.1100
rand,swim.trace,17,183608,38096,0.1836
lru,swim.trace,17,160481,44203,0.1605
clock,swim.trace,17,175988,44629,0.1760
rand,gcc.trace,18,142080,23408,0.1421
lru,gcc.trace,18,110354,14123,0.1104
clock,gcc.trace,18,114639,15371,0.1146
